Line;treat;td;gut;cell mean (um);cell median (um);gut thickness (um)
9024KO;db11;16h;1;29,0065;27,6018;
9024KO;db11;16h;3;32,788;34,4545;
9024KO;db11;16h;4;34,4603;36,328;
9024KO;db11;16h;5;36,2094;37,2064;
9024KO;db11;16h;7;30,5068;30,1686;
9024KO;db11;16h;8;34,3665;34,4111;
9024KO;db11;3h;4;32,971;33,5529;
9024KO;db11;3h;5;34,1774;34,7579;
9024KO;db11;3h;7;33,574;32,9903;
9024KO;db11;3h;8;28,7263;28,9313;
9024KO;sucrose;16h;1;38,6092;39,7986;
9024KO;sucrose;16h;2;34,6467;35,0919;
9024KO;sucrose;16h;3;32,1814;31,7548;
9024KO;sucrose;16h;4;37,3154;37,407;
9024KO;sucrose;16h;5;37,8282;38,6502;
9024KO;sucrose;16h;6;34,46;35,179;
9024KO;sucrose;16h;7;36,2664;36,8268;
9024KO;sucrose;16h;8;33,2467;33,0207;
9024KO;sucrose;16h;9;33,598;33,9385;
w1118;db11;16h;1;27,7112;24,6939;
w1118;db11;16h;2;20,9062;21,0682;
w1118;db11;16h;3;29,3286;28,3334;
w1118;db11;16h;4;24,9284;23,721;
w1118;db11;16h;5;30,0544;31,1915;
w1118;db11;16h;7;30,1628;29,372;
w1118;db11;16h;8;25,5431;25,2312;
w1118;db11;16h;9;33,8633;33,1495;
w1118;db11;3h;1;27,7057;26,812;
w1118;db11;3h;10;27,7761;26,8474;
w1118;db11;3h;11;27,4757;27,9753;
w1118;db11;3h;2;25,0068;22,2031;
w1118;db11;3h;3;35,4921;35,534;
w1118;db11;3h;4;26,647;23,9997;
w1118;db11;3h;5;26,6181;26,0691;
w1118;db11;3h;6;30,8041;29,6278;
w1118;db11;3h;7;35,3236;36,137;
w1118;db11;3h;8;34,5645;35,399;
w1118;db11;3h;9;32,782;32,8216;
w1118;sucrose;16h;1;32,4778;32,2545;
w1118;sucrose;16h;10;31,9829;32,1054;
w1118;sucrose;16h;11;32,5775;31,329;
w1118;sucrose;16h;2;34,8671;34,408;
w1118;sucrose;16h;3;34,8671;34,408;
w1118;sucrose;16h;4;31,6145;32,1109;
w1118;sucrose;16h;5;32,6167;32,8924;
w1118;sucrose;16h;6;34,1127;34,7665;
w1118;sucrose;16h;7;34,2131;34,9977;
w1118;sucrose;16h;8;36,4187;36,5328;
w1118;sucrose;16h;9;34,6153;34,2531;
