Line,treat,td,gut,cell mean (um),cell median (um),gut thickness (um)
9024KO,db11,16h,1,25.8451,24.8635,0.0
9024KO,db11,16h,3,31.6582,33.0964,0.0
9024KO,db11,16h,4,29.9927,30.1336,0.0
9024KO,db11,16h,5,33.165,33.8182,0.0
9024KO,db11,16h,7,27.5247,27.4735,0.0
9024KO,db11,16h,8,32.3039,32.8441,0.0
9024KO,db11,3h,4,32.6296,33.1981,0.0
9024KO,db11,3h,5,33.3681,34.9411,0.0
9024KO,db11,3h,7,31.277,30.8474,0.0
9024KO,db11,3h,8,27.4892,27.7396,0.0
9024KO,sucrose,16h,1,37.803,37.8908,0.0
9024KO,sucrose,16h,2,32.6916,32.9581,0.0
9024KO,sucrose,16h,3,30.5351,30.0316,0.0
9024KO,sucrose,16h,4,34.3948,34.9889,0.0
9024KO,sucrose,16h,5,33.4338,34.4663,0.0
9024KO,sucrose,16h,6,31.2901,32.4817,0.0
9024KO,sucrose,16h,7,34.0021,34.551,0.0
9024KO,sucrose,16h,8,28.4569,28.9678,0.0
9024KO,sucrose,16h,9,30.8351,32.2399,0.0
w1118,db11,16h,1,23.304,20.112,0.0
w1118,db11,16h,2,19.3841,19.6455,0.0
w1118,db11,16h,3,23.0209,19.7974,0.0
w1118,db11,16h,4,19.6116,16.8163,0.0
w1118,db11,16h,5,27.4005,28.4549,0.0
w1118,db11,16h,7,28.5994,27.4381,0.0
w1118,db11,16h,8,24.7391,24.4611,0.0
w1118,db11,16h,9,31.9079,32.112,0.0
w1118,db11,3h,1,25.241,25.3252,0.0
w1118,db11,3h,10,25.9035,25.183,0.0
w1118,db11,3h,11,26.5516,27.3814,0.0
w1118,db11,3h,2,23.4597,20.6546,0.0
w1118,db11,3h,3,34.4885,34.6118,0.0
w1118,db11,3h,4,23.7422,22.0971,0.0
w1118,db11,3h,5,25.5358,25.4854,0.0
w1118,db11,3h,6,29.7095,28.4858,0.0
w1118,db11,3h,7,32.7736,35.0084,0.0
w1118,db11,3h,8,32.6983,32.8759,0.0
w1118,db11,3h,9,30.2609,30.7554,0.0
w1118,sucrose,16h,1,30.1282,30.3251,0.0
w1118,sucrose,16h,10,29.1257,30.4954,0.0
w1118,sucrose,16h,11,30.1119,29.4123,0.0
w1118,sucrose,16h,2,33.1631,32.8786,0.0
w1118,sucrose,16h,3,33.1631,32.8786,0.0
w1118,sucrose,16h,4,29.8181,30.1494,0.0
w1118,sucrose,16h,5,31.9675,32.091,0.0
w1118,sucrose,16h,6,32.0378,33.6269,0.0
w1118,sucrose,16h,7,33.2419,34.2847,0.0
w1118,sucrose,16h,8,34.9247,35.4014,0.0
w1118,sucrose,16h,9,32.683,32.4947,0.0
