Line,treat,td,gut,cell mean (um),cell median (um),gut thickness max (um),gut thickness mean (um),gut thickness median (um)
9024KO,db11,16h,1,22.6101,22.504,269.3239,246.1481,245.4861
9024KO,db11,16h,3,29.8588,31.242,210.4565,193.167,193.1866
9024KO,db11,16h,4,28.9257,29.9083,221.659,205.2975,208.5724
9024KO,db11,16h,5,31.8632,32.7401,212.8296,167.0782,160.7278
9024KO,db11,16h,7,23.6693,24.9235,125.6403,107.9406,106.1767
9024KO,db11,16h,8,31.0061,30.3908,225.8926,191.4177,186.4498
9024KO,db11,3h,4,28.8741,30.0156,211.5902,185.5119,186.7767
9024KO,db11,3h,5,32.0783,31.9789,243.357,202.7353,209.3973
9024KO,db11,3h,7,29.2103,29.9058,190.2828,171.3313,168.9333
9024KO,db11,3h,8,27.0953,27.5297,209.0541,186.7136,189.2559
9024KO,sucrose,16h,1,36.1379,36.9255,181.4,159.2003,158.0859
9024KO,sucrose,16h,2,29.1984,30.4049,197.3274,170.7186,176.5832
9024KO,sucrose,16h,3,28.8102,28.9842,160.6026,143.7801,142.3781
9024KO,sucrose,16h,4,31.4176,33.233,162.969,119.023,120.9099
9024KO,sucrose,16h,5,32.9524,33.4373,201.166,176.8276,179.2988
9024KO,sucrose,16h,6,29.1699,30.2883,199.9841,140.5888,140.4555
9024KO,sucrose,16h,7,31.4517,31.8635,178.2535,148.2739,148.6072
9024KO,sucrose,16h,8,26.4144,26.2205,194.7567,152.4024,163.7079
9024KO,sucrose,16h,9,29.3396,31.2796,193.35,137.9938,130.554
w1118,db11,16h,1,18.6433,17.2568,269.144,120.6826,124.6413
w1118,db11,16h,2,19.2028,19.5357,252.6199,237.0663,237.4366
w1118,db11,16h,3,17.6989,16.9326,271.6732,187.0107,190.4101
w1118,db11,16h,4,17.6979,15.1277,270.7193,136.3238,131.9154
w1118,db11,16h,5,26.4883,27.3497,255.2519,234.4177,238.0716
w1118,db11,16h,7,26.3123,25.8494,384.5292,270.7962,264.4706
w1118,db11,16h,8,23.873,23.8451,235.3302,211.7386,212.0762
w1118,db11,16h,9,31.1126,31.8192,266.8113,246.5534,245.7952
w1118,db11,3h,1,24.5076,24.9412,251.4338,239.1485,237.7952
w1118,db11,3h,10,24.6087,24.0931,213.9365,186.1271,183.489
w1118,db11,3h,11,24.9431,25.428,204.4509,161.1018,154.4834
w1118,db11,3h,2,21.8498,20.1594,237.1449,216.5549,214.7136
w1118,db11,3h,3,32.8525,34.2196,173.7306,159.4802,159.8412
w1118,db11,3h,4,23.1834,22.0027,227.6325,206.9452,203.254
w1118,db11,3h,5,25.072,25.0056,206.4952,177.0183,181.3476
w1118,db11,3h,6,28.2206,27.0507,257.2372,222.9131,217.6571
w1118,db11,3h,7,31.1318,32.987,248.4429,204.0279,196.2481
w1118,db11,3h,8,30.2296,31.3362,227.0045,194.9214,198.1369
w1118,db11,3h,9,28.9436,29.5932,222.3079,181.2762,181.8811
w1118,sucrose,16h,1,27.5209,28.2637,142.6756,129.277,128.9973
w1118,sucrose,16h,10,28.3841,28.9499,175.5611,91.3681,115.3397
w1118,sucrose,16h,11,27.2566,28.036,184.8303,144.294,138.9926
w1118,sucrose,16h,2,30.6666,31.8446,161.6042,139.8151,137.7954
w1118,sucrose,16h,3,30.6666,31.8446,161.6042,139.8151,137.7954
w1118,sucrose,16h,4,29.1784,30.1773,158.1434,139.0159,134.449
w1118,sucrose,16h,5,31.0442,31.269,192.7248,159.7927,156.5598
w1118,sucrose,16h,6,31.7169,32.4465,188.8222,141.9252,150.1593
w1118,sucrose,16h,7,31.4712,32.1962,164.1513,138.0237,139.7995
w1118,sucrose,16h,8,32.8922,34.3498,140.7739,124.1976,123.1749
w1118,sucrose,16h,9,31.5587,31.9909,160.9201,139.4256,142.0252
